CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4043-06-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-06-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-02-V4;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-02-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-02-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-01-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-01-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-01-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-07-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-06-V5;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-06-V4;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-02-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-01-V4;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-03-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-03-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-09-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-09-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-09-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-04-V4;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-04-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-04-V1;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
J-4043-03-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;CREA MANITAS;KR 18N CL 70A SUR
U-948;111000000000;COLEGIO PAULO VI (IED);URBANO;NA;NA
U-950;111000000000;COLEGIO PAULO VI (IED);URBANO;NA;NA
U-951;111000000000;COLEGIO PAULO VI (IED);URBANO;NA;NA
U-952;111000000000;COLEGIO PAULO VI (IED);URBANO;NA;NA
U-954;111000000000;COLEGIO TOM ADAMS (IED);URBANO;NA;NA
U-955;111000000000;COLEGIO TOM ADAMS (IED);URBANO;NA;NA
U-956;111000000000;COLEGIO TOM ADAMS (IED);URBANO;NA;NA
U-958;111000000000;COLEGIO PROSPERO PINZON (IED);URBANO;NA;NA
U-960;111000000000;COLEGIO TOM ADAMS (IED);URBANO;NA;NA
U-963;111000000000;COLEGIO FERNANDO SOTO APARICIO (IED);URBANO;NA;NA
J-4047-11-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
J-4047-10-V2;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
J-4047-10-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
J-4047-09-V2;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
J-4047-09-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
