CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4233-06-V1;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-04-V3;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-04-V2;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4246-01-V5;1,11E+11;COLEGIO VILLEMAR EL CARMEN (IED);COMPLEMENTARIA;CREA VILLEMAR;Cll 20c # 96c-51
J-4246-01-V4;1,11E+11;COLEGIO VILLEMAR EL CARMEN (IED);COMPLEMENTARIA;CREA VILLEMAR;Cll 20c # 96c-51
J-4246-01-V3;1,11E+11;COLEGIO VILLEMAR EL CARMEN (IED);COMPLEMENTARIA;CREA VILLEMAR;Cll 20c # 96c-51
J-4246-01-V2;1,11E+11;COLEGIO VILLEMAR EL CARMEN (IED);COMPLEMENTARIA;CREA VILLEMAR;Cll 20c # 96c-51
J-4246-01-V1;1,11E+11;COLEGIO VILLEMAR EL CARMEN (IED);COMPLEMENTARIA;CREA VILLEMAR;Cll 20c # 96c-51
J-4247-04-V7;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V6;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V5;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V4;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V3;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V2;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-04-V1;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-03-V1;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-02-V3;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-02-V1;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-01-V3;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-01-V2;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4247-01-V1;1,11E+11;COLEGIO CARLOS ARTURO TORRES (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
U-086;1,11E+11;COLEGIO DIEGO MONTAÑA CUELLAR (IED);URBANO;NA;NA
U-089;1,11E+11;COLEGIO DIEGO MONTAÑA CUELLAR (IED);URBANO;NA;NA
U-090;1,11E+11;COLEGIO DIEGO MONTAÑA CUELLAR (IED);URBANO;NA;NA
U-095;1,12E+11;COLEGIO FEDERICO GARCIA LORCA (IED);URBANO;NA;NA
U-096;1,12E+11;COLEGIO FEDERICO GARCIA LORCA (IED);URBANO;NA;NA
U-097;1,12E+11;COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED);URBANO;NA;NA
J-4271-03-V3;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-03-V2;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-03-V1;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-02-V3;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-02-V2;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-02-V1;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-01-V3;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-01-V2;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
J-4271-01-V1;1,11E+11;COLEGIO SALUDCOOP SUR (IED);COMPLEMENTARIA;CREA CASTILLA;KR 75 8B 89
U-098;1,12E+11;COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED);URBANO;NA;NA
U-099;2,12E+11;COLEGIO GRAN YOMASA (IED);URBANO;NA;NA
U-100;2,12E+11;COLEGIO GRAN YOMASA (IED);URBANO;NA;NA
U-1010;1,12E+11;COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED);URBANO;NA;NA
U-1395;1,12E+11;COLEGIO FEDERICO GARCIA LORCA (IED);URBANO;NA;NA
U-1619;1,12E+11;COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED);URBANO;NA;NA
J-4274-08-V3;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-08-V1;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-07-V2;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-07-V1;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-06-V1;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-05-V2;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
J-4274-05-V1;1,11E+11;COLEGIO SANTA MARTHA (IED);COMPLEMENTARIA;PARQUE LA AURORA;KR 14L DG 70A SUR
U-572;1,11E+11;COLEGIO VEINTIUN ANGELES (IED);URBANO;NA;NA
