Sentidos;CodRuta;Id Localid;Localidad;SegOpe;Proveedor;TipoRuta;VehCod;VehTip;VehMRed;TipoEst;IEDDANE;IED;Sede;Jornada;Zona;HoraIniR1;HoraFinJE;HoraIniR2;NumHoras1;NumHoras2;NumHorasT;Lunes;Martes;Mc;Jueves;Viernes;Sabado;Domingo;TipoPob;Hora_IniJE;Min_Ini;Min_Fin;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;id_3;left;top;right;bottom;row_index;col_index;Dias_op;KM_Ruta;Zona
R1;R-191;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:20;11:55;12:00;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;320;370;-1;342;0;342;6392,524329;335,7712694;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;14,692;0
R1;R-192;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;10;BUS;SI;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;4:55;12:15;12:20;1;1;2;1;1;1;1;1;0;0;GENERAL;5:40;295;340;-1;335;0;335;9648,580816;155,709427;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;20,892;0
R1;R-193;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:20;12:15;12:20;1;1;2;1;1;1;1;1;0;0;GENERAL;5:40;320;340;-1;269;0;269;5613,699126;156,1525235;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;12,37;0
R1;R-194;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:05;12:15;12:20;1;1;2;1;1;1;1;1;0;0;GENERAL;5:40;305;340;-1;324;0;324;6163,173969;155,709427;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;12,036;0
R1;R-196;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;12:00;17:55;18:00;1;1;2;1;1;1;1;1;0;0;GENERAL;12:20;720;740;-1;113;0;113;2952,505752;154,4437383;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;5,824;0
R1;R-197;7;BOSA;2_CV_2025;CONSORCIO RUTAS SEGURAS;RURAL;14;VAN;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:45;17:55;18:00;1;1;2;1;1;1;1;1;0;0;GENERAL;12:20;705;740;-1;245;0;245;5340,253428;336,3567664;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;10,68;0
R1;R-198;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:30;17:55;18:00;1;1;2;1;1;1;1;1;0;0;GENERAL;12:20;690;740;-1;352;0;352;8978,203583;154,7338885;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;17,931;0
R1;R-199;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:30;17:55;18:00;1;1;2;1;1;1;1;1;0;0;GENERAL;12:20;690;740;-1;433;0;433;8503,206013;154,8344188;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;17,926;0
R1;R-200;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:00;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:40;660;700;-1;292;0;292;8753,432908;155,4218706;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;18,47;0
R1;R-204;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;10;BUS;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:05;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:40;665;700;-1;207;0;207;5767,562791;155,2753418;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;11,342;0
